eps_s,eps_t,Equilibrium Temperature Difference (T_eq - T_atm)
0.06,0.37,3.4271131373564003
0.06,0.38,3.2467799062709446
0.06,0.39,3.0682611176769683
0.06,0.4,2.8915257712477
0.06,0.41,2.716543631033119
0.06,0.42,2.543285200670141
0.06,0.43,2.3717216996299157
0.06,0.44,2.2018250403453976
0.06,0.45,2.0335678063057117
0.06,0.46,1.8669232310107304
0.06,0.47,1.7018651776744491
0.06,0.48,1.5383681197942565
0.06,0.49,1.3764071224154009
0.06,0.5,1.215957824149541
0.06,0.51,1.0569964198036246
0.06,0.52,0.8994996437250506
0.06,0.53,0.7434447537619917
0.06,0.54,0.5888095157507678
0.06,0.55,0.43557218864384595
0.06,0.56,0.28371151016585827
0.06,0.57,0.1332066829297105
0.06,0.58,-0.015962638855341993
0.06,0.59,-0.16381636231767516
0.06,0.6,-0.3103739682653668
0.06,0.61,-0.45565452321955036
0.06,0.62,-0.5996766909540838
0.06,0.63,-0.7424587436624392
0.06,0.64,-0.8840185727366361
0.06,0.65,-1.0243736991783408
0.06,0.66,-1.1635412836573664
0.06,0.67,-1.3015381362315566
0.06,0.68,-1.4383807257420358
0.06,0.69,-1.5740851888959355
0.06,0.7,-1.7086673390501232
0.06,0.71,-1.842142674706679
0.06,0.72,-1.9745263877321122
0.06,0.73,-2.105833371310439
0.06,0.74,-2.236078227633584
0.06,0.75,-2.365275275383169
0.06,0.76,-2.4934385568994912
0.06,0.77,-2.6205818452016842
0.06,0.78,-2.7467186507480505
0.06,0.79,-2.8718622279945407
0.06,0.8,-2.996025581750075
0.06,0.81,-3.1192214733363812
0.06,0.82,-3.2414624265593943
0.06,0.83,-3.362760733493303
0.06,0.84,-3.483128460122714
0.06,0.85,-3.602577451747152
0.06,0.86,-3.7211193382950682
0.06,0.87,-3.8387655394432727
0.06,0.88,-3.9555272695937447
0.06,0.89,-4.07141554270396
0.06,0.9,-4.186441176976587
0.06,0.91,-4.300614799406958
0.06,0.92,-4.413946850232776
0.06,0.93,-4.526447587187647
0.06,0.94,-4.638127089704483
0.06,0.95,-4.748995262963206
0.06,0.96,-4.85906184183176
0.06,0.97,-4.968336394697246
0.06,0.98,-5.076828327189958
0.06,0.99,-5.1845468857983406
0.06,1.0,-5.291501161416363
0.07,0.0,13.710532197429927
0.07,0.01,13.417181745425182
0.07,0.02,13.127963595186657
0.07,0.03,12.842775971975925
0.07,0.04,12.561520755737547
0.07,0.05,12.284103308162287
0.07,0.06,12.01043230988381
0.07,0.07,11.740419607052843
0.07,0.08,11.473980066797253
0.07,0.09,11.211031440761303
0.07,0.1,10.951494236358315
0.07,0.11,10.695291595139736
0.07,0.12,10.442349177763845
0.07,0.13,10.192595055251331
0.07,0.14,9.945959606054885
0.07,0.15,9.702375418518557
0.07,0.16,9.461777198547225
0.07,0.17,9.22410168195023
0.07,0.18,8.98928755136194
0.07,0.19,8.757275357373715
0.07,0.2,8.528007443559659
0.07,0.21,8.301427875311617
0.07,0.22,8.077482372129907
0.07,0.23,7.856118243252752
0.07,0.24,7.637284326331269
0.07,0.25,7.420930929093743
0.07,0.26,7.2070097737693
0.07,0.27,6.995473944058688
0.07,0.28,6.786277834630141
0.07,0.29,6.579377102937826
0.07,0.3,6.374728623171563
0.07,0.31,6.17229044236268
0.07,0.32,5.9720217384085
0.07,0.33,5.773882779998644
0.07,0.34,5.577834888237703
0.07,0.35,5.383840400001418
0.07,0.36,5.191862632876337
0.07,0.37,5.0018658515319885
0.07,0.38,4.8138152356006
0.07,0.39,4.6276768488596645
0.07,0.4,4.443417609744927
0.07,0.41,4.261005263011157
0.07,0.42,4.080408352631139
0.07,0.43,3.901596195752461
0.07,0.44,3.7245388577471203
0.07,0.45,3.549207128190858
0.07,0.46,3.3755724978694275
0.07,0.47,3.2036071366464967
0.07,0.48,3.033283872238428
0.07,0.49,2.8645761697426337
0.07,0.5,2.6974581120272205
0.07,0.51,2.5319043808244714
0.07,0.52,2.3678902385827314
0.07,0.53,2.20539151093152
0.07,0.54,2.0443845698737846
0.07,0.55,1.8848463175568213
0.07,0.56,1.726754170680863
0.07,0.57,1.5700860454082317
0.07,0.58,1.4148203428916872
0.07,0.59,1.2609359352795195
0.07,0.6,1.1084121522598593
0.07,0.61,0.9572287680169325
0.07,0.62,0.8073659887087956
0.07,0.63,0.6588044403821982
0.07,0.64,0.5115251572394186
0.07,0.65,0.36550957038446086
0.07,0.66,0.22073949694294015
0.07,0.67,0.07719712949000268
0.07,0.68,-0.06513497406325541
0.07,0.69,-0.2062739003759475
0.07,0.7,-0.3462363900792411
0.07,0.71,-0.4850388470505891
0.07,0.72,-0.6226973472298027
0.07,0.73,-0.7592276472684603
0.07,0.74,-0.8946451928133001
0.07,0.75,-1.028965126560081
0.07,0.76,-1.1622022960423806
0.07,0.77,-1.2943712611651677
0.07,0.78,-1.4254863015345336
0.07,0.79,-1.5555614234872905
0.07,0.8,-1.6846103669712988
0.07,0.81,-1.812646612176593
0.07,0.82,-1.9396833859689195
0.07,0.83,-2.0657336681259153
0.07,0.84,-2.1908101973831435
0.07,0.85,-2.314925477296981
0.07,0.86,-2.4380917819307797
0.07,0.87,-2.560321161363845
0.07,0.88,-2.681625447072065
0.07,0.89,-2.8020162570763887
0.07,0.9,-2.921505001014623
0.07,0.91,-3.0401028850264424
0.07,0.92,-3.1578209165045905
0.07,0.93,-3.274669908708006
0.07,0.94,-3.390660485243302
0.07,0.95,-3.50580308441738
0.07,0.96,-3.6201079634603843
0.07,0.97,-3.7335852026620273
0.07,0.98,-3.8462447093240826
0.07,0.99,-3.958096221672122
0.07,1.0,-4.069149312622756
0.08,0.0,15.665905860321345
0.08,0.01,15.358631429327204
0.08,0.02,15.055755977681542
0.08,0.03,14.757169200458804
0.08,0.04,14.462764826200953
