Wavelength(um),Transmittance,SEBSControl,05um,1um,2um,4um,8um
11.48,0.62561648,0.009943451426,0.0199053902,0.01717996531,0.02012697963,0.0191739309,0.01611576882
11.49,0.62419297,0.01012808966,0.01968126829,0.01696721838,0.02026888479,0.01905422665,0.01602287992
11.5,0.62419297,0.01023976802,0.01943067948,0.01680491166,0.02056458762,0.0189570976,0.0159481094
11.51,0.62419297,0.01026027911,0.01919786887,0.01671254117,0.02092400582,0.01890965905,0.01592091881
11.52,0.6220577,0.01021697779,0.01901740864,0.0166896736,0.02122808057,0.01891643612,0.01591865286
11.53,0.6220577,0.0101440451,0.01890559252,0.0167220504,0.02139304011,0.0189819455,0.01590958905
11.54,0.62063419,0.01008250416,0.01885815151,0.01677480207,0.02140385618,0.0190881068,0.01587333309
11.55,0.62063419,0.01005743091,0.0188732877,0.01680649709,0.02128397219,0.01921458193,0.01582801139
11.56,0.62063419,0.01006426911,0.01895596778,0.01678770658,0.02108157908,0.01933652498,0.01582347907
11.57,0.61778717,0.01010985613,0.01911227286,0.01672838971,0.02084510123,0.01942458569,0.01590958837
11.58,0.61778717,0.0101805121,0.01933245852,0.01667156013,0.02062254879,0.01948328842,0.01607951927
11.59,0.61778717,0.01024204715,0.0195776543,0.01666499396,0.02045114718,0.01952618422,0.01627886858
11.6,0.60212854,0.01026255809,0.01979615748,0.01672816314,0.02036363077,0.01957133557,0.01643514894
11.61,0.60212854,0.01023748914,0.01994804299,0.01683547387,0.02037490909,0.01964583066,0.01652573486
11.62,0.589672815,0.01018279129,0.02002183321,0.01694073607,0.02049309809,0.01974514896,0.01658234662
11.63,0.589672815,0.01013492833,0.02004169013,0.01701158374,0.02069448331,0.01985348474,0.01665027626
11.64,0.589672815,0.01010757699,0.02004845941,0.01705096642,0.02093392795,0.01995052541,0.0167476337
11.65,0.58896106,0.0101030184,0.02008185374,0.01709555276,0.02115280491,0.02006560734,0.01686535566
11.66,0.58896106,0.0101030184,0.0201750358,0.01719060289,0.02131101529,0.02023707623,0.0169966444
11.67,0.58896106,0.0101030184,0.02034242529,0.01736438486,0.02140926401,0.02050549982,0.01713696802
11.68,0.57555633,0.01010757699,0.02057924875,0.01761572642,0.02148249316,0.02086628987,0.01731800062
11.69,0.57555633,0.01014860364,0.02085502032,0.017911554,0.02157644342,0.02127202228,0.0175532928
11.7,0.5480351067,0.01021925671,0.02113747674,0.01820797168,0.02172332093,0.0216775875,0.01785411362
11.71,0.5480351067,0.01028762609,0.02140903587,0.01847582404,0.02194179386,0.02204920888,0.01820231809
11.72,0.5480351067,0.01033092426,0.02168885366,0.01872349356,0.02224937465,0.02240042901,0.01857299774
11.73,0.53973129,0.01038105633,0.02202533854,0.01899956086,0.0226599318,0.02275827026,0.01894353847
11.74,0.53973129,0.01052687958,0.02245827336,0.01936293695,0.02316366511,0.02314522278,0.01931845482
11.75,0.53973129,0.01086628762,0.02299473011,0.01985369783,0.02371592371,0.02361745588,0.0197225698
11.76,0.53973129,0.01145371304,0.02359946817,0.02046736876,0.02425529084,0.02420180671,0.02018969009
11.77,0.53973129,0.01224095964,0.02422495437,0.02116518039,0.02475191918,0.02489807885,0.02077158343
11.78,0.5409175467,0.01308213014,0.02484465135,0.02190461343,0.02523774323,0.02570602959,0.02146804961
11.79,0.5409175467,0.01383176829,0.02547046072,0.022652491,0.02578927367,0.02660296405,0.02225182925
11.8,0.5409175467,0.01438795194,0.02613466103,0.02338608099,0.02646356359,0.02752147887,0.02304847552
